"TransferOrderNo","FromSiteID","ToSiteID","TxnDate","InvtID","BarCode","BaseUnitQty","UnitID"
TO100504179,"9005","1236","2024.06.26","8305020000023","2683000002458",100.0,EA
TO100504179,"9005","1236","2024.06.26","8305020000055","2683000024481",100.0,EA
TO100504253,"9005","1277","2024.06.26","8305020000055","2683000024481",100.0,EA
TO100504253,"9005","1277","2024.06.26","8305030000005","2683000017988",100.0,EA
TO100504253,"9005","1277","2024.06.26","8305030000004","2683000017957",100.0,EA
TO100504253,"9005","1277","2024.06.26","8305010000057","2683000019128",100.0,EA
TO100504253,"9005","1277","2024.06.26","8305010000076","2683000031526",240.0,EA
TO100504253,"9005","1277","2024.06.26","1206020000004","2312000020277",60.0,BOX
TO100504253,"9005","1277","2024.06.26","1206020000005","2312000020284",60.0,BOX
TO100504253,"9005","1277","2024.06.26","8207010000009","8658000033263",4.0,EA
TO100504253,"9005","1277","2024.06.26","1207030000019","26820000026280,",0.0,EA
TO100504788,"9005","1004","2024.06.26","1207030000019","26820000026280,",0.0,EA
TO100504788,"9005","1004","2024.06.26","8307030000004","2683000043369",4.0,EA
TO100504788,"9005","1004","2024.06.26","8305010000055","2683000018916",500.0,EA
TO100504788,"9005","1004","2024.06.26","8301010000002","2783000017657",2.0,EA
TO100504788,"9005","1004","2024.06.26","8305010000051","2683000018749",1000.0,EA
TO100504788,"9005","1004","2024.06.26","1207030000018","2682000026570",3.0,EA
TO100504795,"9005","1108","2024.06.26","8104010000010","2681000021288",2.0,EA
TO100504799,"9005","1072","2024.06.26","8305030000004","2683000017957",300.0,EA
TO100504799,"9005","1072","2024.06.26","8305020000027","2683000018640",250.0,EA
TO100504799,"9005","1072","2024.06.26","8305030000005","2683000017988",300.0,EA
TO100504799,"9005","1072","2024.06.26","8305020000030","2683000018701",300.0,EA
TO100504799,"9005","1072","2024.06.26","8305020000026","2683000018626",500.0,EA
TO100504799,"9005","1072","2024.06.26","8301040000009","2683000025549",100.0,EA
TO100504799,"9005","1072","2024.06.26","8305010000057","2683000019128",3.0,EA
